score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.178;1;1.80;91;990;"Encendedor Clipper Dino Sports";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-dino-sports"
0.177;1;1.35;34954;47990;"BongLab Bong KH1 Mercurial 24cm - Azul";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-kh1-mercurial-24cm?variant=Azul"
0.177;1;1.05;35874;43990;"Encendedor Zippo Harley Davidson Carbon Fiber";10737;2;41990;"Encendedor Zippo Classic High Polish Green";"encendedor zippo";"https://fumetas.cl/encendedor-zippo-harley-davidson-carbon-fiber"
0.176;1;12.71;35868;6990;"Encendedor Clipper Metalico Tottems - Plateado";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-metalico-tottem?variant=Plateado"
0.176;1;1.80;19468;990;"Encendedor Clipper Cops And Robbers";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-cops-and-robbers"
0.176;1;1.80;19690;990;"Encendedor Clipper See You";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-see-you"
0.176;1;1.80;19595;990;"Encendedor Clipper Baroque Grass";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-baroque-grass"
0.176;1;12.71;35866;6990;"Encendedor Clipper Metalico Tottems - Dorado";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-metalico-tottem?variant=Dorado"
0.176;1;1.62;34679;25990;"Bonglab Bong X2 Color Cube 23cm - Ámbar";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=%C3%81mbar"
0.176;1;1.64;33889;105990;"Bonglab Bong Glycerin Thicc 36cm - Rosado";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-glycerin-thicc-mint-36cm?variant=Rosado"
0.176;1;5.75;13202;39990;"Calvo Glass Implosion Drop Rig 23cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-implosion-drop-rig-23cm"
0.176;1;1.01;34777;6890;"Calvo Glass Quemador Perlas - Macho 18mm - Turquesa";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-quemador-perlas-macho-18mm?variant=Turquesa"
0.175;1;1.62;34421;25990;"BongLab Bong X5 Pocket Bell 17cm - Ámbar";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-x5-pocket-bell-17cm?variant=%C3%81mbar"
0.175;1;1.14;34953;47990;"BongLab Bong KH1 Mercurial 24cm - Gris";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-kh1-mercurial-24cm?variant=Gris"
0.175;1;1.83;34672;22990;"Bonglab Bong KS11 Classic Ice 26cm - Rosado";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-ks11-classic-ice-26cm?variant=Rosado"
0.175;1;1.05;34068;67990;"Bonglab Bong K276 Bongbastic 45cm - Turquesa";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bongbastic-k276?variant=Turquesa"
0.174;1;1.15;35486;55990;"Bonglab Bong KD1 Classy 29cm - Azul";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-kd1?variant=Azul"
0.174;1;1.01;34950;64990;"Bonglab Bong Fresh K30 42cm - Turquesa";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Turquesa"
0.174;1;2.58;33947;24990;"BongLab Bong R3 Mini 10.5cm - Turquesa";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Turquesa"
0.173;1;2.58;33949;24990;"BongLab Bong R3 Mini 10.5cm - Transparente";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Transparente"
0.173;1;2.16;34752;14990;"Calvo Glass Pipa Twist Spoon 11cm - Negro";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-pipa-twist-spoon-11cm?variant=Negro"
0.173;1;2.49;34678;25990;"Bonglab Bong X2 Color Cube 23cm - Rosado";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=Rosado"
0.173;1;6.33;13629;43990;"Calvo Glass Straight Tube XL 40cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-straight-tube-xl-39cm"
0.173;1;1.83;34675;22990;"Bonglab Bong KS11 Classic Ice 26cm - Ámbar";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-ks11-classic-ice-26cm?variant=%C3%81mbar"
0.171;1;3.63;19454;25221;"Calvo Glass Bong Compact Skull Rig 19cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-bong-skull-rig"
0.171;1;2.16;34754;14990;"Calvo Glass Pipa Twist Spoon 11cm - Rojo";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-pipa-twist-spoon-11cm?variant=Rojo"
0.170;1;1.83;37485;22990;"Bonglab Bong KS10 Little Buchner 25cm - Verde";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=Verde"
0.170;1;2.49;34679;25990;"Bonglab Bong X2 Color Cube 23cm - Ámbar";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-x2-colo-cube-23cm?variant=%C3%81mbar"
0.170;1;1.35;34505;30990;"BongLab Bong W06 Fat Candy 25cm - Verde";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-w06-fat-candy-25-cm?variant=Verde"
0.170;1;1.83;37484;22990;"Bonglab Bong KS10 Little Buchner 25cm - Azul";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=Azul"
0.170;1;2.49;34421;25990;"BongLab Bong X5 Pocket Bell 17cm - Ámbar";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-x5-pocket-bell-17cm?variant=%C3%81mbar"
0.170;1;1.35;34953;47990;"BongLab Bong KH1 Mercurial 24cm - Gris";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-kh1-mercurial-24cm?variant=Gris"
0.169;1;2.81;34672;22990;"Bonglab Bong KS11 Classic Ice 26cm - Rosado";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-ks11-classic-ice-26cm?variant=Rosado"
0.168;1;2.16;34755;14990;"Calvo Glass Pipa Twist Spoon 11cm - Naranjo";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-pipa-twist-spoon-11cm?variant=Naranjo"
0.168;1;5.75;34750;39990;"Calvo Glass Implosion Drop Rig 23cm - Verde";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-implosion-drop-rig-23cm?variant=Verde"
0.167;1;2.81;34675;22990;"Bonglab Bong KS11 Classic Ice 26cm - Ámbar";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/bonglab-bong-ks11-classic-ice-26cm?variant=%C3%81mbar"
0.167;1;8.76;13570;60891;"Calvo Glass Shower Head Monster 30 cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-shower-head-monster-30-cm"
