score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.361;1;14.04;3384;42741;"Volcano Hybrid Set Tubos 3x1m c/u | PIRANHA";5745;2;599990;"Volcano Hybrid Onyx Edition-Storz & Bickel";"volcano hybrid";"https://piranha.cl/inicio/7826/volcano-hybrid-set-tubos-3u-x-1m-cu.html"
0.360;1;1.13;11221;1790;"Conos PreEnrolados OCB Ultra Fino 109mm (3u)| PIRANHA";10851;2;1590;"OCB 3 Conos Pre-enrolados King Size Premium Slim";"conos ocb 3u";"https://piranha.cl/inicio/8383/conos-preenrolados-ocb-ultra-fino-109mm.html"
0.359;1;4.68;16146;99990;"Peak Pro Colored Glass";10649;3;467490;"Puffco Peak Pro";"peak pro";"https://piranha.cl/inicio/6213/puffco-peak-pro-colored-glass-color-a-eleccion.html"
0.358;1;158.27;11086;3791;"Volcano Hybrid Air Filter Cap";5745;2;599990;"Volcano Hybrid Onyx Edition-Storz & Bickel";"volcano hybrid";"https://piranha.cl/inicio/1679/volcano-hybrid-air-filter-cap.html"
0.350;1;4.29;511;180491;"Vaporizador DynaVap WoodWynd | PIRANHA";10439;3;42100;"DynaVap Vaporizador The B";"vaporizador dynavap";"https://piranha.cl/inicio/7343/vaporizador-dynavap-woodwynd.html"
0.343;1;2.65;509;2451;"Kit Encendedor Clipper x Piranha";10481;2;6490;"Encendedor Clipper Metálico Green Gradient";"encendedor clipper";"https://piranha.cl/inicio/5855/kit-encendedor-clipper-x-piranha.html"
0.335;1;1.60;15817;7990;"Bandeja Lion Rolling Circus Medium 30x23cm| PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"bandeja lion rolling circus";"https://piranha.cl/inicio/7785/bandeja-lion-rolling-circus-medium-30x23cm.html"
0.333;1;24.78;15913;4794;"Boquilla Plana DaVinci MIQRO";10891;3;118800;"Vaporizador DaVinci Miqro";"davinci miqro";"https://piranha.cl/inicio/1369/boquilla-plana-davinci-miqro.html"
0.327;1;0.00;509;2451;"Kit Encendedor Clipper x Piranha";10752;2;0;"Encendedor Clipper Metálico Safari";"encendedor clipper";"https://piranha.cl/inicio/5855/kit-encendedor-clipper-x-piranha.html"
0.324;1;0.00;15923;34990;"Encendedor Zippo Iron Stone";10241;2;0;"Encendedor Classic Black & Red-Zippo";"encendedor zippo";"https://piranha.cl/inicio/6263/encendedor-zippo-iron-stone.html"
0.318;1;2.20;15734;1226;"Papelillo Crazy Coco Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"papelillo lion rolling circus";"https://piranha.cl/inicio/1474/papelillo-crazy-coco-1-14-lion-rolling-circus.html"
0.313;1;1.53;15805;1990;"Filtros OCB Virgin Slim 6mm (150u)";10243;2;1300;"OCB ECO Filtros Slim - GB The Green Brand";"filtros ocb slim";"https://piranha.cl/inicio/6495/filtros-ocb-virgin-slim-6mm-150u.html"
0.312;1;1.29;11241;890;"Filtros RAW Cono Perfect (32u)";10479;2;690;"Boquillas RAW Cono Perfecto";"raw cono";"https://piranha.cl/inicio/6465/filtros-raw-cono-perfect-32u.html"
0.310;1;2.20;80788;1226;"Papelillo Funky Chocolate 1 1/4 Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"papelillo lion rolling circus";"https://piranha.cl/inicio/6896/papelillo-funky-chocolate-1-14-lion-rolling-circus.html"
0.310;1;1.26;15805;1990;"Filtros OCB Virgin Slim 6mm (150u)";11014;2;2500;"OCB Virgin Rolled Tips";"ocb virgin";"https://piranha.cl/inicio/6495/filtros-ocb-virgin-slim-6mm-150u.html"
0.310;1;0.00;11238;2990;"Filtro Cartón Enrolado OCB";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtro ocb";"https://piranha.cl/inicio/6296/filtro-carton-enrolado-ocb-25u.html"
0.307;1;2.20;379;1226;"Papelillo Mind Mint 1 1/4 Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"papelillo lion rolling circus";"https://piranha.cl/inicio/6897/papelillo-mind-mint-1-14-lion-rolling-circus.html"
0.305;1;1.53;15806;1990;"Filtros OCB Slim Engomado 6mm (150u)";10243;2;1300;"OCB ECO Filtros Slim - GB The Green Brand";"filtros ocb slim";"https://piranha.cl/inicio/6496/filtros-ocb-slim-engomado-6mm-150u.html"
0.304;1;14.61;16148;31992;"Peak Pro Colored Ball Cap";10649;3;467490;"Puffco Peak Pro";"peak pro";"https://piranha.cl/inicio/6215/puffco-peak-pro-colored-ball-cap-color-a-eleccion.html"
0.304;1;2.51;16137;1990;"Blunt Wrap Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/1487/friendly-url-autogeneration-failed.html"
0.303;1;0.00;15778;4990;"Pack Cepillos de Limpieza Storz & Bickel (3u)| PIRANHA";10424;2;0;"Storz & Bickel Cargador Mighty";"storz bickel";"https://piranha.cl/inicio/7834/pack-cepillos-de-limpieza-storz-bickel-3u.html"
0.303;1;2.20;15763;1226;"Papelillo Chewing Madness 1 1/4 Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"papelillo lion rolling circus";"https://piranha.cl/inicio/6895/papelillo-chewing-madness-1-14-lion-rolling-circus.html"
0.299;1;0.00;15863;34990;"Encendedor Zippo Leaf Design Engraved";10241;2;0;"Encendedor Classic Black & Red-Zippo";"encendedor zippo";"https://piranha.cl/inicio/6266/encendedor-zippo-leaf-design-engraved.html"
0.298;1;1.18;16185;4242;"Backpack Lion Rolling Circus| PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7786/backpack-lion-rolling-circus.html"
0.296;1;1.11;16036;4491;"Contenedor Tainer Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/604/tainer-lion-rolling-circus-color-aleatorio.html"
0.288;1;2.00;485;2490;"Filtro Prerolled Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/605/filtro-prerolled-6mm-lion-rolling-circus-505u.html"
0.287;1;0.00;15839;1990;"Filtros OCB Mentolado 6mm (150u)";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtros ocb";"https://piranha.cl/inicio/6497/filtros-ocb-mentolado-6mm-150u.html"
0.286;1;0.00;15923;34990;"Encendedor Zippo Iron Stone";10308;2;0;"Encendedor Zippo Cannabis Design";"encendedor zippo";"https://piranha.cl/inicio/6263/encendedor-zippo-iron-stone.html"
0.285;1;2.51;16020;1990;"Blunt Wrap Natural Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/1284/blunt-wrap-natural-lion-rolling-circus.html"
0.285;1;0.00;94429;7990;"Bandeja Metálica RAW Roja Mediana | PIRANHA";10285;2;0;"Bandeja RAW metálica Prepare for Flight - Grande";"bandeja metalica raw";"https://piranha.cl/inicio/8934/bandeja-metalica-raw-roja-mediana.html"
0.285;1;2.51;16021;1990;"Blunt Wrap Strawberry Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/1287/blunt-wrap-strawberry-lion-rolling-circus.html"
