sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.40,Otros parafernalia,raw,raw,11209,Piranha,9872,Jockey RAW con Spot Secreto,https://piranha.cl/15099-thickbox_default/jockey-raw-con-spot-secreto.jpg,19949,Fumetas,11992,Raw Jockey Camuflado,https://cdnx.jumpseller.com/fumetas-store/image/75085267/Raw-Jockey-Camuflado.jpg?1774373597,1.21
0.40,Accesorios de extraccion,calvo,calvo,12344,Astro Growshop,15990,Bateria 510 Led 400Mah Black-Calvo Glass,https://cdnx.jumpseller.com/astrogrowshop/image/70927508/imagen_1_28410.webp?1766500717,37325,Fumetas,14990,Calvo Batería Pro Led Cartridge 510 - Tornasol,https://cdnx.jumpseller.com/fumetas-store/image/59873289/Bateria-Cartridge-510-LED-Calvo-Glass-Cosmic-Purple.webp?1738801470,1.07
0.40,Encendedores y sopletes,zippo,zippo,12610,Astro Growshop,33990,Encendedor Classic Brick Logo - Zippo,https://cdnx.jumpseller.com/astrogrowshop/image/70213226/imagen_1_brick.webp?1764265907,19740,Fumetas,27990,Encendedor Zippo Classic Lemon,https://cdnx.jumpseller.com/fumetas-store/image/20333364/ZIPPO-CLASSIC-ICE-OFICIAL.gif?1636070414,1.21
0.40,Encendedores y sopletes,zippo,zippo,12632,Astro Growshop,44990,Sunset Black Light Design-Zippo,https://cdnx.jumpseller.com/astrogrowshop/image/70179820/imagen_1_21523.webp?1764188083,19913,Fumetas,38990,Encendedor Zippo Design,https://cdnx.jumpseller.com/fumetas-store/image/34397589/Encendedor-Zippo-Design.webp?1682272958,1.15
0.40,Vaporizadores herbales,focus-v,focus-v,13226,Fumetas,349990,Focus V Vaporizador Carta 2,https://cdnx.jumpseller.com/fumetas-store/image/61575707/Focus-V-Carta-2-Vaporizador-Extractos-Negro.webp?1742497011,31575,Astro Growshop,269790,VAPORIZADOR CARTA SPORT -FOCUS V - Verde azulado,https://cdnx.jumpseller.com/astrogrowshop/image/72748979/VPFVCSTEAL.webp?1770301441,1.30
0.40,Accesorios de extraccion,puffco,puffco,16040,Piranha,258993,Vaporizador Proxy Kit Black - Puffco,https://piranha.cl/22636-thickbox_default/vaporizador-puffco-proxy-kit-color-a-eleccion.jpg,31768,Astro Growshop,349990,Vaporizador Proxy -Puffco - BLOOM,https://cdnx.jumpseller.com/astrogrowshop/image/71344696/imagen_3_21966.webp?1767366341,1.35
0.40,Accesorios de extraccion,puffco,puffco,16040,Piranha,258993,Vaporizador Proxy Kit Black - Puffco,https://piranha.cl/22636-thickbox_default/vaporizador-puffco-proxy-kit-color-a-eleccion.jpg,31769,Astro Growshop,293990,Vaporizador Proxy -Puffco - DESSERT,https://cdnx.jumpseller.com/astrogrowshop/image/75999974/imagen_1_20839.webp?1776874745,1.14
0.40,Accesorios de extraccion,puffco,puffco,16040,Piranha,258993,Vaporizador Proxy Kit Black - Puffco,https://piranha.cl/22636-thickbox_default/vaporizador-puffco-proxy-kit-color-a-eleccion.jpg,31770,Astro Growshop,293990,Vaporizador Proxy -Puffco - FLOURINSH,https://cdnx.jumpseller.com/astrogrowshop/image/75999979/imagen_2_22082.webp?1776874746,1.14
0.40,Accesorios de extraccion,puffco,puffco,16064,Piranha,299993,Vaporizador Puffco New Proxy Kit - Puffco,https://piranha.cl/23132-thickbox_default/vaporizador-puffco-new-proxy-kit-color-a-eleccion.jpg,31768,Astro Growshop,349990,Vaporizador Proxy -Puffco - BLOOM,https://cdnx.jumpseller.com/astrogrowshop/image/71344696/imagen_3_21966.webp?1767366341,1.17
0.40,Accesorios de extraccion,puffco,puffco,16064,Piranha,299993,Vaporizador Puffco New Proxy Kit - Puffco,https://piranha.cl/23132-thickbox_default/vaporizador-puffco-new-proxy-kit-color-a-eleccion.jpg,31769,Astro Growshop,293990,Vaporizador Proxy -Puffco - DESSERT,https://cdnx.jumpseller.com/astrogrowshop/image/75999974/imagen_1_20839.webp?1776874745,1.02
0.40,Accesorios de extraccion,puffco,puffco,16064,Piranha,299993,Vaporizador Puffco New Proxy Kit - Puffco,https://piranha.cl/23132-thickbox_default/vaporizador-puffco-new-proxy-kit-color-a-eleccion.jpg,31770,Astro Growshop,293990,Vaporizador Proxy -Puffco - FLOURINSH,https://cdnx.jumpseller.com/astrogrowshop/image/75999979/imagen_2_22082.webp?1776874746,1.02
0.40,Accesorios de extraccion,puffco,puffco,16154,Piranha,72242,Puffco Journey Bag,https://piranha.cl/14484-thickbox_default/puffco-journey-bag-peak-y-peak-pro-color-a-eleccion.jpg,19820,Fumetas,79990,The Peak Bag - Mochila Para Vaporizador Puffco Peak,https://cdnx.jumpseller.com/fumetas-store/image/26784026/The_Peak_Bag_2_960x960.webp?1662174247,1.11
