score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.476;0;1.81;3688;5590;"Moledor 3 Partes Gris- Amsterdam";6567;3;10100;"Moledor Bulldog Ámsterdam Metálico Silver 4 Partes";"moledor partes amsterdam";"https://astrogrowshop.cl/moledor-3-partes-gris-amsterdam"
0.468;0;3.07;32949;1790;"Cenicero Portatil -Ozeta - CELESTE";10336;2;5490;"Cenicero Portátil RAW Catcher | PIRANHA";"cenicero portatil";"https://astrogrowshop.cl/cenicero-portatil-ozeta?variant=CELESTE"
0.467;0;0.00;31752;217990;"Filtro De Carbón Activado-Kasvi - 250X600 MM";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtro carbon activado";"https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi?variant=250X600%20MM"
0.466;0;1.33;12228;3990;"Conos Pre Roll King Size Pack 3U-Blazy Susan";5710;2;2990;"Futurola x Mike Tyson 3 Conos Pre-enrolados King Size";"conos pre king size 3u";"https://astrogrowshop.cl/conos-pre-roll-king-size-pack-3u-blazy-susan"
0.463;0;1.14;32429;3990;"Quemador Bong Cuerno Macho 14Mm - LIGHT BLUE";5751;3;3490;"Calvo Glass Quemador Pyrex - Macho 14mm";"quemador bong cuerno macho 14mm";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm?variant=LIGHT%20BLUE"
0.436;0;1.50;2653;11990;"Moledor Aluminio 4 Partes 40Mm Bt";6471;2;7990;"Moledor Bulldog 40mm 1 piso";"moledor partes 40mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-40mm-bt"
0.422;0;16.06;12270;39990;"Papelillo Unbleached King Size Slim 50U-Blazy Susan";10369;2;2490;"OCB Roll Kit Virgin King Size";"papelillo king size slim";"https://astrogrowshop.cl/papelillo-unbleached-king-size-slim-50u-blazy-susan"
0.416;0;1.00;31031;7990;"Moledor Aluminio 4 Partes 40Mm Bt - verde";6471;2;7990;"Moledor Bulldog 40mm 1 piso";"moledor partes 40mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-40mm-bt?variant=verde"
0.415;0;1.00;31032;7990;"Moledor Aluminio 4 Partes 40Mm Bt - azul";6471;2;7990;"Moledor Bulldog 40mm 1 piso";"moledor partes 40mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-40mm-bt?variant=azul"
0.413;0;4.16;2654;14990;"Moledor Aluminio 4 Partes 50MM Bt";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"moledor partes 50mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt"
