dist,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
14,"Repuestos para bongs y vaporizadores",12848,2,10257,4401,"Bonglab Quemador Perlas - Macho 18mm",31343,1,,5990,"Quemador Perlas Macho 18 Mm -Bonglab - Rosa"
15,"Bongs",13284,2,10487,27990,"Bonglab Bong Saucer Rig 13cm",31720,1,,29990,"Saucer Rig-Bonglab - Verde azulado"
15,"Filtros y boquillas",32772,1,,34990,"Filtro Personal Pro II -Sploofy - Rojo",36571,2,,29990,"Sploofy Pro Filtro Personal - Rojo"
15,"Moledores",24,1,10096,2490,"Moledor Plastico 3 Partes - Bulldog",33549,2,,2490,"Moledor plástico Bulldog 3 partes 60mm - Rosado"
15,"Otros parafernalia",15664,3,10593,29742,"Gorro Peludito Pescador Blazy Susan (Black/White/Pink)",34325,2,,24792,"Blazy Susan Gorro Bucket Fuzzy - Rosado"
15,"Pipas",1072,3,5491,9483,"Pipa Karma PieceMaker",33576,2,,8990,"PMG Pipa Karma 9 cm - Beast Blue"
15,"Repuestos para bongs y vaporizadores",17983,1,10440,9990,"Munchie Bowl -Pmg",34305,2,,11990,"PMG Munchie Bowl - Miss Pinky"
15,"Repuestos para bongs y vaporizadores",18555,2,10440,11990,"PMG Munchie Bowl",31691,1,,12990,"Munchie Bowl -Pmg - ROSADO"
15,"Repuestos para bongs y vaporizadores",31691,1,,12990,"Munchie Bowl -Pmg - ROSADO",34305,2,,11990,"PMG Munchie Bowl - Miss Pinky"
16,"Bongs",1059,3,10290,52191,"Bong Calvo Abeja Color Blue Shower Perc 35cm",34993,2,,56541,"Calvo Glass Bong Abejas 35cm - Azul"
16,"Bongs",31627,1,,22990,"Color Cube-Bonglab - azul",34680,2,,25990,"Bonglab Bong X2 Color Cube 23cm - Azul"
16,"Contenedores y estuches",11057,3,10199,24473,"Estuche Ywiwis Perrito - OZeta | PIRANHA",32846,1,,31990,"Bolso Ywiwis Antiolor-Ozeta - PERRITO"
16,"Contenedores y estuches",19780,2,10199,35990,"Ozeta Bolso Felpudo Perrito",32846,1,,31990,"Bolso Ywiwis Antiolor-Ozeta - PERRITO"
16,"Otros parafernalia",16196,3,10497,8091,"HighTrip - Pizzannabica",33427,1,,7990,"Pin-Hightrip - PIZZANNABICA"
16,"Papelillos",15733,3,10646,1226,"Papelillo Electric Grape Lion Rolling Circus",35149,2,,1390,"LRC Papelillos Flavour 1 1/4 - Sabores - Grape"
16,"Repuestos para bongs y vaporizadores",31422,1,,5990,"Quemador Perlas Macho 14Mm - Bonglab - SMOKEY GRAY",33986,2,,5391,"Bonglab Quemador Perlas - Macho 14mm - Negro"
