offerId,store,title,top1_productId,top1_modelSlug,top1_stores,top1_sim,top1_brandKey,top1_tienda_ya_presente,top1_title,top2_productId,top2_modelSlug,top2_stores,top2_sim,top2_tienda_ya_presente,top3_productId,top3_modelSlug,top3_stores,top3_sim,top3_tienda_ya_presente
12682,astrogrowshop,"Encendedor Logo Negro - Zippo",10511,classic-flat-sand,2,0.429,zippo,si,"Encendedor Classic Flat Sand Logo - Zippo",10512,classic-red-matte,2,0.429,zippo,si,"Encendedor Classic Red Matte Logo - Zippo",10582,classic-high-polish-blue,2,0.429,zippo,si,"Encendedor Hig Polish Blue Logo - Zippo"
12842,fumetas,"Bonglab Quemador - Hembra 14mm 2.0",5749,bowl-bowl-14mm,3,0.800,bonglab,si,"Bonglab Quemador Hembra 14mm",5749,bowl-bowl-14mm,3,0.667,bonglab,si,"Bonglab Quemador Hembra 14mm - Ambar",5749,bowl-bowl-14mm,3,0.571,bonglab,si,"Quemador Bowl Chico Hembra 14Mm - Bonglab"
12843,fumetas,"Bonglab Quemador Hembra 14mm Clear",5749,bowl-bowl-14mm,3,0.800,bonglab,si,"Bonglab Quemador Hembra 14mm",6020,bowl-14mm,3,0.667,bonglab,si,"Bonglab Quemador Macho 14mm Clear",5749,bowl-bowl-14mm,3,0.667,bonglab,si,"Bonglab Quemador Hembra 14mm - Ambar"
12902,fumetas,"Quemador Macho 18mm - Diferentes Colores",10297,bowl-macho-18mm,2,0.600,bonglab,si,"Quemador macho 18mm",5747,bowl-honeycomb-18mm,5,0.500,bonglab,si,"Quemador Honeycomb Macho 18mm",10297,bowl-macho-18mm,2,0.500,bonglab,si,"Bonglab Quemador Macho 18mm"
12950,fumetas,"Encendedor Classic Black Matte Zippo",10429,classic-orange-matte,2,0.667,zippo,si,"Encendedor Classic Orange Matte Zippo",10512,classic-red-matte,2,0.571,zippo,si,"Encendedor Classic Red Matte Logo - Zippo",10241,lighter-classic-black-red,2,0.571,zippo,si,"Encendedor Zippo Classic Black and Red"
13176,fumetas,"BongLab Quemador Large Bowl - Macho 14mm",5746,bowl-honeycomb-14mm,4,0.571,bonglab,si,"BongLab Quemador HoneyComb Macho 14mm",6020,bowl-14mm,3,0.571,bonglab,si,"Bonglab Quemador Macho 14mm Clear",6020,bowl-14mm,3,0.571,bonglab,si,"Quemador Macho Bonglab 14mm | PIRANHA"
13518,fumetas,"Vaporizador PAX 3",10541,roam,2,0.333,g-pen,si,"Vaporizador Roam",10864,plus-complete-kit,2,0.333,pax,si,"PAX Vaporizador Plus Kit - Complete Periwinkle",10864,plus-complete-kit,2,0.333,pax,si,"PAX Vaporizador Plus Kit - Complete Sage"
13634,fumetas,"Cookies Original Mint Socks Black and White - Calcetines Lar",10588,calcetines-negros,2,0.400,raw,si,"Raw Black Socks - Calcetines Largos",10241,lighter-classic-black-red,2,0.154,zippo,si,"Encendedor Zippo Classic Black and Red",6774,hammer-wag-wig,3,0.100,calvo,si,"Pipa Calvo Glass Wig wag Hammer 13 cm vidrio premi"
13636,fumetas,"Cookies Original Mint Socks White and Black - Calcetines Lar",10588,calcetines-negros,2,0.400,raw,si,"Raw Black Socks - Calcetines Largos",10241,lighter-classic-black-red,2,0.154,zippo,si,"Encendedor Zippo Classic Black and Red",6774,hammer-wag-wig,3,0.100,calvo,si,"Pipa Calvo Glass Wig wag Hammer 13 cm vidrio premi"
15553,piranha,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,1.000,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10202,pocket,3,0.667,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA",5489,pocket-travel,3,0.571,top-smoke,si,"Pipa Top Smoke Pocket Travel | PIRANHA"
16090,piranha,"Bandeja Soulblime",10500,metalica-mix,2,0.667,soulblime,no,"Bandeja SoulBlime metálica",10546,contenedor-tapa-bandeja,3,0.250,soulblime,si,"Contenedor con Tapa Bandeja de Enrolado Soulblime ",10549,tabaquera,4,0.250,soulblime,si,"Tabaquera Soulblime | PIRANHA"
16117,piranha,"Bandeja OCB (Diseño aleatorio)",10566,bamboo-rolling-tray,2,0.333,ocb,si,"OCB Bandeja Bamboo - Mediana",10566,bamboo-rolling-tray,2,0.200,ocb,si,"Bandeja Bamboo OCB Rolling Tray 23x18cm | PIRANHA",5463,organic,5,0.167,ocb,si,"Papelillo OCB Orgánico 1 ¼"
16162,piranha,"Puffco Proxy Joystick Cap | PIRANHA",10652,peak-pro-joystick-cap,3,0.571,puffco,si,"Puffco Peak Pro Joystick Cap | PIRANHA",10562,proxy-bub,2,0.500,puffco,si,"Proxy Bub Puffco | PIRANHA",10459,proxy-black-joystick-cap,2,0.500,puffco,si,"Vaporizador Proxy Kit Black + Joystick Cap - Puffc"
17210,astrogrowshop,"Proxy Joystick Cap Black-Puffco",10559,proxy-wizard,2,0.400,puffco,si,"Proxy Wizard Black-Puffco",10459,proxy-black-joystick-cap,2,0.375,puffco,si,"Vaporizador Proxy Kit Black + Joystick Cap - Puffc",10459,proxy-black-joystick-cap,2,0.333,puffco,si,"Proxy Black + Joystick Cap-Puffco"
17946,astrogrowshop,"Blunt Hemp Wrap Terpenes Rolling Stones Lemon Haze- Lion Rol",10567,hemp-wrap-electric-grape,2,0.667,lion-rolling-circus,si,"Blunt Hemp Wrap Terpenes Rolling Stones Electric G",10568,hemp-wrap-berry-gelato,2,0.667,lion-rolling-circus,si,"Blunt Hemp Wrap Terpenes Rolling Stones Berry Gela",10733,terpenes-gelato,2,0.545,lion-rolling-circus,no,"Blunt Wrap - Lion Rolling Circus Terpenes - Gelato"
18014,astrogrowshop,"Variedades Encendedores-Clipper",10483,bernie-wild-free,3,0.250,special-blue,si,"Soplete Bernie Variedades",10845,one,2,0.200,naar,si,"Encendedor Naar One Variedades",10551,metalico-tottems,3,0.200,clipper,si,"ENCENDEDOR METALICO TOTTEMS VARIEDADES"
18028,astrogrowshop,"Gorro Pescador Textura Black-Blazy Susan",10593,gorro-pescador-fuzzy,3,0.667,blazy-susan,si,"Gorro Pescador Textura White-Blazy Susan",10593,gorro-pescador-fuzzy,3,0.667,blazy-susan,si,"Gorro Pescador Textura Pink-Blazy Susan",10593,gorro-pescador-fuzzy,3,0.333,blazy-susan,si,"Gorro Peludito Pescador Blazy Susan (Black/White/P"
18083,astrogrowshop,"Kush Hemps Wraps Sweet",10196,gold-cone-1u,2,0.182,kush-hemp,si,"Cono de Oro Gold 24K Kush Hemp Wraps | PIRANHA",5339,bubbler-kush,4,0.167,bonglab,si,"Bong Bubbler Kush",5708,wrap-rose-2u,3,0.167,blazy-susan,si,"Wraps Rose-Blazy Susan"
18084,astrogrowshop,"Kush Hemps Wraps Zero",10196,gold-cone-1u,2,0.182,kush-hemp,si,"Cono de Oro Gold 24K Kush Hemp Wraps | PIRANHA",5339,bubbler-kush,4,0.167,bonglab,si,"Bong Bubbler Kush",5708,wrap-rose-2u,3,0.167,blazy-susan,si,"Wraps Rose-Blazy Susan"
18144,astrogrowshop,"Piper Negro-Ryot",,,,,,,,,,,,,,,,,,,
18492,fumetas,"Bonglab Double Circuit Bong 14 cm Kit Banger + Cap + Terp Ba",10457,mini-beaker-kit-extractos,4,0.538,bonglab,si,"Bonglab Mini Beaker Bong 15 cm Kit Banger + Cap + ",10218,handy-rig,4,0.250,bonglab,si,"Bonglab Bong Handy Rig 14cm",10217,double-shot,2,0.231,bonglab,si,"BongLab Bong K14 Double Shot 42cm"
19338,fumetas,"Quemador Spair - Macho 18mm",10297,bowl-macho-18mm,2,0.750,bonglab,si,"Quemador macho 18mm",5747,bowl-honeycomb-18mm,5,0.600,bonglab,si,"Quemador Honeycomb Macho 18mm",10297,bowl-macho-18mm,2,0.600,bonglab,si,"Bonglab Quemador Macho 18mm"
19387,fumetas,"Encendedor Zippo Classic High Polish Purple",10582,classic-high-polish-blue,2,0.714,zippo,si,"Encendedor Zippo Classic High Polish Blue",10737,classic-high-polish-green,2,0.500,zippo,no,"Encendedor Zippo High Polish Green Chameleon",5730,lighter-high-polish-teal,2,0.500,zippo,si,"Encendedor ZIPPO – Classic High Polish Teal | Grow"
19465,fumetas,"Encendedor Classic Pink Matte Zippo",10429,classic-orange-matte,2,0.667,zippo,si,"Encendedor Classic Orange Matte Zippo",10512,classic-red-matte,2,0.571,zippo,si,"Encendedor Classic Red Matte Logo - Zippo",10429,classic-orange-matte,2,0.500,zippo,si,"Encendedor Zippo Orange Matte"
19512,fumetas,"Ozeta Bolso Cilíndrico con Clave - Anti-olor",10485,bolso-xxl-con-clave,2,0.714,ozeta,si,"Ozeta Bolso XXL Con Clave - Anti-olor",10180,shoulderbag-con-clave,2,0.571,ozeta,si,"Shoulderbag con Clave Anti-olor OZeta",10376,banano-con-clave,5,0.571,ozeta,si,"Ozeta Banano con clave - Anti-olor"
19557,fumetas,"Bandeja Raw Dark Mediana",5734,brazilian-girl-metal-medium,3,0.500,raw,si,"Bandeja RAW Brazilian Girl - Mediana",5735,girl-metal-medium,3,0.500,raw,si,"Bandeja RAW metálica Girl - Mediana",10190,classic-mediana,4,0.500,raw,si,"Bandeja RAW metálica Classic - Mediana"
19571,fumetas,"BongLab Rosin Paper Light",10514,rosin-paper-aluminio,2,0.600,bonglab,si,"BongLab Rosin Paper aluminio",10514,rosin-paper-aluminio,2,0.286,bonglab,si,"Papel Para Rosin Aluminio- Bonglab",10108,prisma,2,0.200,bonglab,no,"Bonglab Prisma"
19604,fumetas,"Encendedor Clipper Casino Nights",10307,onis-1,2,0.400,clipper,si,"Encendedor Clipper Onis 1",10576,shinobis,2,0.400,clipper,si,"Encendedor Clipper Shinobis",10581,z-bunnys,2,0.400,clipper,si,"Encendedor Clipper Z-Bunnys"
19675,fumetas,"Encendedor Clipper Party Skulls",10307,onis-1,2,0.400,clipper,si,"Encendedor Clipper Onis 1",10576,shinobis,2,0.400,clipper,si,"Encendedor Clipper Shinobis",10581,z-bunnys,2,0.400,clipper,si,"Encendedor Clipper Z-Bunnys"
19738,fumetas,"Encendedor Zippo Black Ice",10241,lighter-classic-black-red,2,0.429,zippo,si,"Encendedor Zippo Classic Black and Red",10332,cannabis-design-iridiscente,2,0.333,zippo,si,"Encendedor Zippo Cannabis Design",10364,flame-design,2,0.333,zippo,no,"Encendedor Zippo Flame Design"
19753,fumetas,"Focus V Aeris Bubbler",10435,aeris,3,0.500,focus-v,si,"Focus V Vaporizador Aeris",10435,aeris,3,0.400,focus-v,si,"Vaporizador Aeris Focus V | PIRANHA",10460,bateria-intercambiable-aeris,2,0.333,focus-v,no,"Batería Intercambiable Aeris Focus V | PIRANHA"
19858,fumetas,"Bandeja OCB Mediana",10566,bamboo-rolling-tray,2,0.750,ocb,si,"OCB Bandeja Bamboo - Mediana",5734,brazilian-girl-metal-medium,3,0.333,raw,si,"Bandeja RAW Brazilian Girl - Mediana",5735,girl-metal-medium,3,0.333,raw,si,"Bandeja RAW metálica Girl - Mediana"
19914,fumetas,"Encendedor Zippo Merlot",10332,cannabis-design-iridiscente,2,0.400,zippo,si,"Encendedor Zippo Cannabis Design",10364,flame-design,2,0.400,zippo,no,"Encendedor Zippo Flame Design",10308,cannabis-design-3,2,0.400,zippo,si,"Encendedor Zippo Cannabis Design"
19953,fumetas,"Shine® X ROOR Glass Tip Plus",10469,glass-bowl,3,0.167,stundenglass,si,"Glass Bowl-Stundenglass",10207,vaporizer-plus,3,0.143,puffco,si,"Vaporizador Plus Silver-Puffco",10207,vaporizer-plus,3,0.143,puffco,si,"Puffco Vaporizador Plus"
20080,fumetas,"Contenedor vidrio",10523,hitter,2,0.200,ozeta,no,"Hitter OZeta de vidrio",10546,contenedor-tapa-bandeja,3,0.200,soulblime,si,"Soulblime Contenedor con Tapa-Bandeja",5760,extract-container-extracts-4ml,3,0.200,bonglab,si,"Contenedor al Vacío para Extractos BongLab 4 ml – "
20226,fumetas,"Storz &amp; Bickel Juego de Mallas Finas Solid Valve",10372,solid-valve-mallas-normales,2,0.556,storz-bickel,no,"Solid Valve Juego de Mallas Normales",5759,screen-set-venty,3,0.556,storz-bickel,si,"Storz &amp; Bickel Juego de Mallas Venty",5758,screen-set-small,3,0.556,storz-bickel,si,"Storz &amp; Bickel Juego de mallas pequeño"
20302,fumetas,"Dabber",10614,dabber-classic,2,0.250,bonglab,si,"Bonglab Dabber Dual Classic",10610,dabber-dual,2,0.250,bonglab,si,"Bonglab Dabber Dual Shovel",10610,dabber-dual,2,0.250,bonglab,si,"Bonglab Dabber Dual Spoon"
31068,astrogrowshop,"Moledor Lite 63Mm- Calvo Glass - Rosa",5504,lite-aluminio-63mm,3,0.857,calvo,si,"Moledor Lite 63Mm- Calvo Glass - Oro rosa",5504,lite-aluminio-63mm,3,0.833,calvo,si,"Moledor Lite 63Mm- Calvo Glass",5504,lite-aluminio-63mm,3,0.714,calvo,si,"Moledor Lite 63Mm- Calvo Glass - Rojo"
31189,astrogrowshop,"Moledor 5Cm -Slx - verde",5999,ceramic-50mm,5,0.750,slx,si,"Moledor 5Cm -Slx",9852,ceramic-60mm,4,0.600,slx,si,"Moledor 6CM -Slx - verde",6002,ceramic-90mm,4,0.600,slx,si,"Moledor 9CM-Slx - verde"
31192,astrogrowshop,"Moledor 5Cm -Slx - CHARCOAL",5999,ceramic-50mm,5,0.750,slx,si,"Moledor 5Cm -Slx",9852,ceramic-60mm,4,0.600,slx,si,"Moledor 6CM -Slx - CHARCOAL",9852,ceramic-60mm,4,0.400,slx,si,"Moledor 6CM -Slx"
31194,astrogrowshop,"Moledor 5Cm -Slx - Morado",5999,ceramic-50mm,5,0.750,slx,si,"Moledor 5Cm -Slx",9852,ceramic-60mm,4,0.600,slx,si,"Moledor 6CM -Slx - Morado",6002,ceramic-90mm,4,0.600,slx,si,"Moledor 9CM-Slx - Morado"
31195,astrogrowshop,"Moledor 5Cm -Slx - Amarillo",5999,ceramic-50mm,5,0.750,slx,si,"Moledor 5Cm -Slx",9852,ceramic-60mm,4,0.600,slx,si,"Moledor 6CM -Slx - Amarillo",9852,ceramic-60mm,4,0.400,slx,si,"Moledor 6CM -Slx"
31197,astrogrowshop,"Moledor 5Cm -Slx - Rosa",5999,ceramic-50mm,5,0.750,slx,si,"Moledor 5Cm -Slx",9852,ceramic-60mm,4,0.600,slx,si,"Moledor 6CM -Slx - Rosa",9852,ceramic-60mm,4,0.400,slx,si,"Moledor 6CM -Slx"
