productId,productName,category,brandKey,existingStores,query,score,state,hitTitle,hitUrl,hitPrice,refPrice,priceRatio,offerId,linkedProductId,hitImage
10146,Papelillo Slim Ultimate King Size- Ocb,Papelillos,ocb,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.75,huerfana-existente,Papelillos Kingsize Slim Futurola,https://www.kushbreak.cl/papelillos-kingsize-slim-futurola,1500,1568,1.05,69214,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589123/resize/255/255?1679515230
5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,raw,Fumetas | Piranha | Astro Growshop | GrowBarato Chile,black,0.75,url-no-scrapeada,Sugar Black Rose,https://www.kushbreak.cl/sugar-black-rose,8990,1068,8.42,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2556376/resize/255/255?1679515227
10457,Bonglab Mini Beaker Kit Extractos,Bongs,bonglab,GrowBarato Chile | Piranha | Astro Growshop | Fumetas,extractos,0.74,huerfana-existente,Bong Mini Rig Ursa - MJ Arsenal,https://www.kushbreak.cl/mini-rig-ursa-mjarsenal-bong,65990,39693,1.66,69266,,https://cdnx.jumpseller.com/kushbreak-growshop/image/58195522/resize/255/255?1733863003
5768,BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile,Accesorios de extraccion,bonglab,Astro Growshop | GrowBarato Chile | Fumetas | Piranha,extracciones,0.73,huerfana-existente,Banger 14mm,https://www.kushbreak.cl/banger-14mm-bong-rosin,6990,8432,1.21,69095,,https://cdnx.jumpseller.com/kushbreak-growshop/image/34248107/resize/255/255?1681850709
5746,Quemador Honeycomb Macho 14Mm,Repuestos para bongs y vaporizadores,bonglab,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,14mm,0.73,huerfana-existente,Difusor con Quemador 14mm,https://www.kushbreak.cl/difusor-quemador-14mm,8990,5858,1.53,69132,,https://cdnx.jumpseller.com/kushbreak-growshop/image/48812274/resize/255/255?1715792287
10107,Banger Regular Full Weld 14 mm Calvo Glass,Accesorios de extraccion,calvo,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,banger,0.72,huerfana-existente,Banger 14mm,https://www.kushbreak.cl/banger-14mm-bong-rosin,6990,19535,2.79,69095,,https://cdnx.jumpseller.com/kushbreak-growshop/image/34248107/resize/255/255?1681850709
5463,Papel de fumar de cáñamo orgánico 1 1/4 OCB,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,ocb,0.71,huerfana-existente,Papelillos OCB® Cáñamo orgánico,https://www.kushbreak.cl/papelillos-ocb-virgin,600,818,1.36,69024,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2569859/resize/255/255?1679515229
5741,Vaporizador Crafty+ Plus,Vaporizadores herbales,storz-bickel,Fumetas | GrowBarato Chile | Astro Growshop | Piranha,storz bickel,0.71,huerfana-existente,Vaporizador Crafty - Storz and Bickel,https://www.kushbreak.cl/vaporizador-crafty-storz-bickel-portable-cannabis,289990,275143,1.05,69151,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2555859/resize/255/255?1679515226
10105,Banger Calvo Flat Bucket 90° - Macho 14mm,Accesorios de extraccion,calvo,GrowBarato Chile | Fumetas | Piranha | Astro Growshop,macho,0.7,huerfana-existente,Quemador 14mm macho,https://www.kushbreak.cl/repuesto-quemador-14mm-macho,5990,10168,1.7,69119,,https://cdnx.jumpseller.com/kushbreak-growshop/image/6528008/resize/255/255?1679515229
10105,Banger Calvo Flat Bucket 90° - Macho 14mm,Accesorios de extraccion,calvo,GrowBarato Chile | Fumetas | Piranha | Astro Growshop,macho,0.7,huerfana-existente,Quemador Cuerno 14mm macho,https://www.kushbreak.cl/quemador-cuerno-14mm-macho,7990,10168,1.27,69117,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18721892/resize/255/255?1679515263
10457,Bonglab Mini Beaker Kit Extractos,Bongs,bonglab,GrowBarato Chile | Piranha | Astro Growshop | Fumetas,extractos,0.7,huerfana-existente,Mini duo Tesla,https://www.kushbreak.cl/mini-duo-tesla-cigs-vaporizador-extracciones-cannabis,29990,39693,1.32,69212,,https://cdnx.jumpseller.com/kushbreak-growshop/image/6470040/resize/255/255?1679515250
10457,Bonglab Mini Beaker Kit Extractos,Bongs,bonglab,GrowBarato Chile | Piranha | Astro Growshop | Fumetas,mini,0.7,vinculada-a-otro,Moledor SLX Mini de Cerámica,https://www.kushbreak.cl/moledor-slx-mini-de-ceramica,48990,39693,1.23,68965,5999,https://cdnx.jumpseller.com/kushbreak-growshop/image/63698257/resize/255/255?1747952231
10083,OCB Premium 1.1/4 + Tips,Papelillos,ocb,Piranha | GrowBarato Chile | Astro Growshop | Fumetas,tips,0.7,huerfana-existente,Connosseur Black RAW® + tips 1 1/4,https://www.kushbreak.cl/papelillos-connosseur-raw-black-tips,1590,1918,1.21,69174,,https://cdnx.jumpseller.com/kushbreak-growshop/image/23352727/resize/255/255?1679515266
