productId;tiendas;producto;slug;staleOfferId;variante;stalePrice;staleStock;twin;twinOfferId;twinPrice;mismoPrecio
10404;2;Calvo Glass Flat Bucket Banger 45° Macho 10mm;calvo/flat-bucket-banger-45-10mm;32872;45° 14Mm;7990;false;gemela-en-el-mismo-producto;32871;7990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31692;Negro;9990;false;gemela-huerfana;77603;9990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31696;Rojo;9990;false;gemela-huerfana;77603;9990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31691;ROSADO;12990;false;gemela-huerfana;77598;12990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31693;Verde;11990;false;gemela-huerfana;77600;11990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31694;Naranjo;9990;false;gemela-huerfana;77603;9990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31695;Morado;9990;false;gemela-huerfana;77603;9990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31697;CELESTE;9990;false;gemela-huerfana;77603;9990;true
10440;2;PMG Munchie Bowl;piecemaker/munchie-bowl;31699;VERDE/ROJO;9990;false;gemela-huerfana;77603;9990;true
10443;2;Puffco Vaporizador Proxy;puffco/proxy;31772;PROXY;349990;false;gemela-huerfana;31768;349990;true
10445;2;Blazy Susan Rolling Tray Acero Inoxidable;blazy-susan/rolling-tray-acero-inoxidable;33226;Morado;31990;false;gemela-huerfana;79321;31990;true
10445;2;Blazy Susan Rolling Tray Acero Inoxidable;blazy-susan/rolling-tray-acero-inoxidable;33228;Oro rosa;26990;true;gemela-huerfana;79323;26990;true
10447;2;Ryot Estuche Roller Wallet;ryot/roller-wallet;31799;Negro;23990;true;gemela-huerfana;77704;23990;true
10570;2;Bolso Cruzado Smellproof Blazy Susan;blazy-susan/bolso-cruzado-smellproof;33187;Negro;50990;true;gemela-huerfana;79282;50990;true
10570;2;Bolso Cruzado Smellproof Blazy Susan;blazy-susan/bolso-cruzado-smellproof;33188;Rosa;48990;true;gemela-huerfana;79283;48990;true
10662;2;Puffco Proxy Storm;puffco/proxy-storm;31771;STORM;399990;false;gemela-huerfana;91155;399990;true
10663;2;Ignite Soplete Phantom Mini;ignite/phantom-mini;32895;Rojo;14990;true;gemela-huerfana;77499;14990;true
10663;2;Ignite Soplete Phantom Mini;ignite/phantom-mini;32893;Blanco;14990;true;gemela-huerfana;77499;14990;true
10663;2;Ignite Soplete Phantom Mini;ignite/phantom-mini;32894;Negro;14990;true;gemela-huerfana;77499;14990;true
10698;2;Ozeta Estuche Grande 2023 Anti-Olor;ozeta/case-grande-2023;31636;Morado;30990;true;gemela-huerfana;31638;30990;true
10698;2;Ozeta Estuche Grande 2023 Anti-Olor;ozeta/case-grande-2023;31637;Negro;36990;true;gemela-huerfana;77543;36990;true
10699;2;Ozeta Estuche Pequeño 2023 Anti-Olor;ozeta/case-pequeno-2023;31644;Morado;28990;true;gemela-huerfana;77550;28990;true
10699;2;Ozeta Estuche Pequeño 2023 Anti-Olor;ozeta/case-pequeno-2023;31645;Negro;28990;true;gemela-huerfana;77550;28990;true
10706;2;Bonglab Limpiador Glass Cleaner 1 L;bonglab/cleaner-1l;31595;1 L;15990;true;gemela-huerfana;77491;15990;true
10710;2;Calvo Batería Hide Cartridge 510 650mAh;calvo/bateria-hide-510;32373;Verde;24990;true;gemela-huerfana;91500;24990;true
10719;2;Blazy Susan Conos Pre-enrolados Purple King Size 50 uds.;blazy-susan/pre-roll-purple-king-size-50u;32183;Morado;29990;false;gemela-huerfana;78125;29990;true
10762;2;Dime Bags Mochila The Don con Clave Anti-Olor;dime-bags/the-don-con-clave;32953;Negro;46990;false;gemela-huerfana;79084;46990;true
10762;2;Dime Bags Mochila The Don con Clave Anti-Olor;dime-bags/the-don-con-clave;32954;Verde;46990;true;gemela-huerfana;79084;46990;true
10826;2;Oxbar Mini 2200 Triple Mango Ice;oxbar/mini-2200-triple-mango-ice;32634;TRIPLE MANGO ICE;7990;false;gemela-en-otro-producto;32628;7990;true
10873;2;Hightrip Pin HighSkulls 2;hightrip/pin-highskulls-2;33422;HIGH SKULLS 2;7990;true;gemela-en-otro-producto;33424;7990;true
