offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;ejemplosDestino;lastSeenAt;url
52594;piranha;kasvi;"Filtro de Carbón Activo 10'' Kasvi | PIRANHA";218491;Filtros y boquillas;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8116/filtro-de-carbon-activo-kasvi-10-250x600mm.html
53640;piranha;kasvi;"Deshumidificador 12 L/D Kasvi | PIRANHA";237491;Otros parafernalia;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8675/deshumidificador-12-ld-kasvi.html
53641;piranha;kasvi;"Deshumidificador 30 L/D Kasvi | PIRANHA";436991;Otros parafernalia;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8676/deshumidificador-30-ld-kasvi.html
53238;piranha;kasvi;"Bandeja de Cultivo Kasvi | PIRANHA";139992;Bandejas y ceniceros;9;P10779:malla-secado-55cm(2t) P10778:malla-scrog(2t) P10780:poleas-lighthanger-5kg(2t);2026-07-27;https://piranha.cl/inicio/8530/bandeja-de-cultivo-kasvi-122x244cm.html
16185;piranha;lion-rolling-circus;"Backpack Lion Rolling Circus| PIRANHA";4242;Otros parafernalia;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7786/backpack-lion-rolling-circus.html
16008;piranha;lion-rolling-circus;"Caja Metálica Porta Papelillo King Size Lion Rolling Circus | PIRANHA";2690;Contenedores y estuches;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7782/caja-metalica-porta-papelillo-king-size-lion-rolling-circus.html
16020;piranha;lion-rolling-circus;"Blunt Wrap Natural Lion Rolling Circus";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/1284/blunt-wrap-natural-lion-rolling-circus.html
16021;piranha;lion-rolling-circus;"Blunt Wrap Strawberry Lion Rolling Circus";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/1287/blunt-wrap-strawberry-lion-rolling-circus.html
81041;piranha;lion-rolling-circus;"Papelillo Funky Chocolate King Size Lion Rolling Circus | PIRANHA";1891;Papelillos;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7791/papelillo-funky-chocolate-king-size-lion-rolling-circus.html
16036;piranha;lion-rolling-circus;"Contenedor Tainer Lion Rolling Circus";4491;Contenedores y estuches;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/604/tainer-lion-rolling-circus-color-aleatorio.html
81049;piranha;lion-rolling-circus;"Blunt Wrap Chocolate Lion Rolling Circus";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/1286/blunt-wrap-chocolate-lion-rolling-circus.html
16101;piranha;lion-rolling-circus;"Cajita de Almacenamiento Mini Tin Lion Rolling Circus | PIRANHA";2490;Otros parafernalia;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7779/cajita-de-almacenamiento-mini-tin-lion-rolling-circus.html
15958;piranha;lion-rolling-circus;"Blunt Wrap Tequila Lion Rolling Circus | PIRANHA";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/6888/blunt-wrap-tequila.html
16137;piranha;lion-rolling-circus;"Blunt Wrap Lion Rolling Circus";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/1487/friendly-url-autogeneration-failed.html
16019;piranha;lion-rolling-circus;"Blunt Wrap Blueberry Lion Rolling Circus";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/1283/blunt-wrap-blueberry-lion-rolling-circus.html
254;piranha;lion-rolling-circus;"Figura Lion Rolling Circus Bobblehead Ruby | PIRANHA";22491;Otros parafernalia;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-05-08;https://piranha.cl/inicio/7787/figura-lion-rolling-circus-bobblehead-ruby.html
15929;piranha;lion-rolling-circus;"Blunt Wrap Bubble Gum Lion Rolling Circus | PIRANHA";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/6887/blunt-wrap-bubble-gum.html
11145;piranha;lion-rolling-circus;"Moledor Metálico Lion Rolling Circus 5cm 3 Partes | PIRANHA";8541;Moledores;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7794/moledor-metalico-lion-rolling-circus-5cm-3-partes.html
11146;piranha;lion-rolling-circus;"Moledor Metálico Gold Lion Rolling Circus 5cm 3 Partes | PIRANHA";7981;Moledores;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7795/moledor-metalico-gold-lion-rolling-circus-5cm-3-partes.html
11147;piranha;lion-rolling-circus;"Moledor Acrílico Lion Rolling Circus 6cm 3 partes | PIRANHA";3990;Moledores;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7798/moledor-acrilico-lion-rolling-circus-6cm-3-partes.html
15881;piranha;lion-rolling-circus;"Tubo Plástico Guarda Caño Lion Rolling Circus | PIRANHA";1490;Contenedores y estuches;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7796/tubo-plastico-guarda-cano-lion-rolling-circus-diseno-aleatorio.html
11252;piranha;lion-rolling-circus;"Pack 6 Conos Pre-Enrolados Unbleached 1 1/4 Lion Rolling Circus | PIRANHA";2490;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7799/pack-conos-pre-enrolados-unbleached-1-14-lion-rolling-circus-6u-x-pack.html
15817;piranha;lion-rolling-circus;"Bandeja Lion Rolling Circus Medium 30x23cm| PIRANHA";7990;Bandejas y ceniceros;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7785/bandeja-lion-rolling-circus-medium-30x23cm.html
