offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;candidatos;lastSeenAt;url
33844;fumetas;bonglab;Bonglab Bong Jelly Drop 20cm - Rosado;29990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Rosado
33889;fumetas;bonglab;Bonglab Bong Glycerin Thicc 36cm - Rosado;105990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-glycerin-thicc-mint-36cm?variant=Rosado
33928;fumetas;bonglab;Bonglab Bong Handy Rig 14cm - Rosado;30990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-handy-rig-14cm?variant=Rosado
33929;fumetas;bonglab;Bonglab Bong Handy Rig 14cm - Turquesa;30990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-handy-rig-14cm?variant=Turquesa
33930;fumetas;bonglab;Bonglab Bong Handy Rig 14cm - Azul;30990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-handy-rig-14cm?variant=Azul
33945;fumetas;bonglab;BongLab Bong R3 Mini 10.5cm - Azul;24990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Azul
33947;fumetas;bonglab;BongLab Bong R3 Mini 10.5cm - Turquesa;24990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Turquesa
33948;fumetas;bonglab;BongLab Bong R3 Mini 10.5cm - Negro;24990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Negro
33949;fumetas;bonglab;BongLab Bong R3 Mini 10.5cm - Transparente;24990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Transparente
33967;fumetas;bonglab;Bonglab Quemador - Hembra 14mm 2.0 - Rosado;6990;Repuestos para bongs y vaporizadores;7;P10363:quemador-hembra-14mm(1t sim=0.57 ratio=1.40);2026-07-21;https://fumetas.cl/bonglab-quemador-hembra-14mm-20?variant=Rosado
33997;fumetas;bonglab;Bonglab Quemador Perlas - Macho 18mm - Turquesa;4890;Repuestos para bongs y vaporizadores;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-quemador-perlas-macho-18mm?variant=Turquesa
34066;fumetas;bonglab;Bonglab Bong K276 Bongbastic 45cm - Verde;67990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bongbastic-k276?variant=Verde
34068;fumetas;bonglab;Bonglab Bong K276 Bongbastic 45cm - Turquesa;67990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bongbastic-k276?variant=Turquesa
34069;fumetas;bonglab;Bonglab Bong K276 Bongbastic 45cm - Negro;67990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bongbastic-k276?variant=Negro
34240;fumetas;bonglab;Bonglab Bong Lucky Goblin - Blanco;29990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-lucky-goblin?variant=Blanco
34241;fumetas;bonglab;Bonglab Bong Lucky Goblin - Negro;29990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-lucky-goblin?variant=Negro
34379;fumetas;bonglab;Bonglab Bong Pyrex K41 Big Blow 46cm - Negro;66990;Bongs;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-bong-pyrex-k41-big-blow-purple-46cm?variant=Negro
