brandKey;offerId;offerTitle;offerPrice;productId;productName;tiendasProducto;precioMinProducto;ratio;offerUrl
gizeh;68974;"Filtros Gizeh Carbon activo 8mm";1890;5719;"Filtros Gizeh Slim Rojo con pegamento (120+30) 6mm";2;990;1.91;"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
gizeh;68974;"Filtros Gizeh Carbon activo 8mm";1890;10286;"Filtro Gizeh XXL Slim con Pegamento 6x23mm (100u)";2;1150;1.64;"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10452;"Papelillos Lion Rolling Circus Alfalfa King Size";4;990;2.53;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10544;"Blunt Hemp Wrap Lion Rolling Circus Terpenes Tangie";4;1341;1.86;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10565;"Cenicero Metálico Lion Rolling Circus";4;1600;1.56;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;10452;"Papelillos Lion Rolling Circus Alfalfa King Size";4;990;1.4;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;10544;"Blunt Hemp Wrap Lion Rolling Circus Terpenes Tangie";4;1341;1.04;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;10565;"Cenicero Metálico Lion Rolling Circus";4;1600;1.15;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
lion-rolling-circus;69352;"Silver 1 1/4 Lion Rolling Circus";990;10452;"Papelillos Lion Rolling Circus Alfalfa King Size";4;990;1;"https://www.kushbreak.cl/lion-rolling-circus-silver-1-1/4"
lion-rolling-circus;69352;"Silver 1 1/4 Lion Rolling Circus";990;10544;"Blunt Hemp Wrap Lion Rolling Circus Terpenes Tangie";4;1341;1.35;"https://www.kushbreak.cl/lion-rolling-circus-silver-1-1/4"
lion-rolling-circus;69352;"Silver 1 1/4 Lion Rolling Circus";990;10565;"Cenicero Metálico Lion Rolling Circus";4;1600;1.62;"https://www.kushbreak.cl/lion-rolling-circus-silver-1-1/4"
lion-rolling-circus;70021;"Unbleached Lion Rolling Circus";990;10452;"Papelillos Lion Rolling Circus Alfalfa King Size";4;990;1;"https://www.kushbreak.cl/papelillos-1-1/4-lion-rolling-circus-tabaco-cannabis"
lion-rolling-circus;70021;"Unbleached Lion Rolling Circus";990;10544;"Blunt Hemp Wrap Lion Rolling Circus Terpenes Tangie";4;1341;1.35;"https://www.kushbreak.cl/papelillos-1-1/4-lion-rolling-circus-tabaco-cannabis"
lion-rolling-circus;70021;"Unbleached Lion Rolling Circus";990;10565;"Cenicero Metálico Lion Rolling Circus";4;1600;1.62;"https://www.kushbreak.cl/papelillos-1-1/4-lion-rolling-circus-tabaco-cannabis"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;5515;"Moledor Metálico Lion Rolling Circus - 2 Partes";3;3600;1.44;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10542;"Blunt Hemp Wrap Lion Rolling Circus Terpenes Gorila GL";3;1341;1.86;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10620;"Bandeja Lion Rolling Circus";3;3894;1.56;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10646;"Papelillos Lion Rolling Circus Sabores 1 1/4";3;1226;2.04;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10707;"Lion Rolling Circus Papelillos Celulosa Transparente 1 1/4";3;1600;1.56;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10568;"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Berry Gelato";3;1390;1.8;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10567;"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Electric Grape";3;1290;1.94;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10654;"Lion Rolling Circus Hemp Wraps Terpenes Strawberry Shortcake x2";3;1290;1.94;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69296;"Celulosa Kingsize Lion Rolling Circus";2500;10655;"Lion Rolling Circus Papelillo Silver Big Smoke King Size";3;890;2.81;"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;5515;"Moledor Metálico Lion Rolling Circus - 2 Partes";3;3600;2.59;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;10542;"Blunt Hemp Wrap Lion Rolling Circus Terpenes Gorila GL";3;1341;1.04;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;10620;"Bandeja Lion Rolling Circus";3;3894;2.8;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
lion-rolling-circus;69312;"HempWrap Natural Lion Rolling Circus";1390;10646;"Papelillos Lion Rolling Circus Sabores 1 1/4";3;1226;1.13;"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
