id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5705,Conos Pre-Enrolados Blazy Susan 1 1/4 6u Pink | PIRANHA,Conos y blunts,BLAZY SUSAN,blazy-susan,pre-roll-pink-1-1-4-6u,pre-roll-pink-1-1-4-6u,/productos/blazy-susan/pre-roll-pink-1-1-4-6u,3,3,Astro Growshop | Fumetas | Piranha,2990,3990,33,Piranha,Astro Growshop,true,true,2026-05-18T06:55:36.278Z,Conos Pre-Enrolados Blazy Susan 1 1/4 6u Pink | PIRANHA | Blazy Susan Conos Pre-enrolados Pink 1 1/4 6 uds. | Conos Pre Roll Pink 1 1/4 Box 1Und- Blazy Susan
5706,Conos Pre-Enrolados Blazy Susan King Size 3u Pink | PIRANHA,Conos y blunts,BLAZY SUSAN,blazy-susan,pre-roll-pink-king-size-3u,pre-roll-pink-king-size-3u,/productos/blazy-susan/pre-roll-pink-king-size-3u,2,2,Fumetas | Piranha,2990,3591,20,Piranha,Fumetas,true,true,2026-05-18T06:55:35.851Z,Conos Pre-Enrolados Blazy Susan King Size 3u Pink | PIRANHA | Blazy Susan Conos Pre-enrolados Pink King Size 3 uds.
5799,Máquina enroladora RAW 1 1/4 ecoplastic,Otros parafernalia,RAW,raw,rolling-machine-ecoplastic-1-1-4,rolling-machine-ecoplastic-1-1-4,/productos/raw/rolling-machine-ecoplastic-1-1-4,2,2,Fumetas | Piranha,2990,3490,17,Fumetas,Piranha,true,true,2026-05-09T06:31:31.879Z,Máquina enroladora RAW 1 1/4 ecoplastic | Máquina Enroladora RAW 1 1/4 Ecoplastic 79mm
5760,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB,Contenedores y estuches,BONGLAB,bonglab,extract-container-extracts-4ml,extract-container-extracts-4ml,/productos/bonglab/extract-container-extracts-4ml,3,3,Astro Growshop | Fumetas | Piranha,2990,3590,20,Astro Growshop,Fumetas,true,true,2026-05-09T05:52:21.069Z,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB | Contenedor Extracciónes 4mL (Tapa Blanca/Tapa Negra) - BongLab | PIRANHA | Bonglab Contenedor De Extractos 4ml
5797,Enroladora Acrílica 1 1/4 1U-Ocb,Otros parafernalia,OCB,ocb,rolling-machine-acrilica-1-1-4,rolling-machine-acrilica-1-1-4,/productos/ocb/rolling-machine-acrilica-1-1-4,3,3,Astro Growshop | Fumetas | Piranha,3490,5190,49,Astro Growshop,Fumetas,true,true,2026-05-18T07:03:48.138Z,Enroladora Acrílica 1 1/4 1U-Ocb | Máquina Enroladora Acrílica OCB 1 1/4 | Enroladora Acrilica OCB 1 1/4
5751,Calvo Glass Quemador Pyrex - Macho 14mm,Repuestos para bongs y vaporizadores,Calvo Glass,calvo,bowl-14mm,bowl-14mm,/productos/calvo/bowl-14mm,3,3,Fumetas | GrowBarato Chile | Piranha,3490,5990,72,Fumetas,Piranha,true,true,2026-05-09T06:52:19.732Z,Calvo Glass Quemador Pyrex - Macho 14mm | Quemador Calvo Glass 14mm Cuerno | Bowl vidrio bong verde amarillo morado | Quemador Macho 14mm
5498,Galaxy Moledor Biodegradable | Grinder ecológico resistente,Moledores,GALAXY,galaxy,ecologico,ecologico,/productos/galaxy/ecologico,2,2,Astro Growshop | GrowBarato Chile,3600,4990,39,GrowBarato Chile,Astro Growshop,true,true,2026-05-18T14:27:18.197Z,Galaxy Moledor Biodegradable | Grinder ecológico resistente | Grinder Ecológico -Galaxy
5515,Moledor Metálico Lion Rolling Circus - 2 Partes,Moledores,LION ROLLING CIRCUS,lion-rolling-circus,metal-2-partes,metal-2-partes,/productos/lion-rolling-circus/metal-2-partes,2,2,GrowBarato Chile | Piranha,3900,7591,95,GrowBarato Chile,Piranha,true,true,2026-05-18T07:07:37.318Z,Moledor Metálico Lion Rolling Circus - 2 Partes | Moledor Metálico Lion Rolling Circus 5cm 2 Partes | PIRANHA
5766,Raw Tarro Mason Jar de Vidrio 16oz,Contenedores y estuches,RAW,raw,jar-mason-glass-473ml,jar-mason-glass-473ml,/productos/raw/jar-mason-glass-473ml,2,2,Fumetas | Piranha,3990,3990,0,Piranha,Piranha,true,true,2026-05-09T05:57:58.755Z,Frasco de Almacenaje y Curado Mason Jar de Vidrio RAW 473mL | PIRANHA | Raw Tarro Mason Jar de Vidrio 16oz
5480,Papelillos RAW Supernatural Super King Size 30cm | PIRANHA,Papelillos,RAW,raw,paper-king-size-30cm-king-size,super-king-30cm,/productos/raw/super-king-30cm,3,3,Fumetas | GrowBarato Chile | Piranha,4490,5190,16,Piranha,Fumetas,true,true,2026-05-09T06:52:07.839Z,Papelillos RAW Supernatural Super King Size 30cm | PIRANHA | Papelillos Largos RAW Super King Size 30cm | Papelillos RAW Super King 30cm
