rank,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
37,5799,Máquina enroladora RAW 1 1/4 ecoplastic,Otros parafernalia,RAW,raw,rolling-machine-ecoplastic-1-1-4,rolling-machine-ecoplastic-1-1-4,/productos/raw/rolling-machine-ecoplastic-1-1-4,3,3,Astro Growshop | Fumetas | Piranha,2990,3490,17,Fumetas,Piranha,true,true,2026-05-09T06:31:31.879Z,Máquina enroladora RAW 1 1/4 ecoplastic | MAQUINA ENROLADORA -RAW | Máquina Enroladora RAW 1 1/4 Ecoplastic 79mm
38,5748,Quemador Perla 18mm Calvo Glass - GB The Green Brand,Repuestos para bongs y vaporizadores,CALVO,calvo,bowl-perlas-18mm,bowl-perlas-18mm,/productos/calvo/bowl-perlas-18mm,3,3,Astro Growshop | GrowBarato Chile | Piranha,6200,6990,13,GrowBarato Chile,Astro Growshop,true,true,2026-05-18T06:45:39.629Z,Quemador Perla 18mm Calvo Glass - GB The Green Brand | Quemador Perlas Macho 18Mm-Calvo Glass | Quemador Perlas Calvo 18mm
39,6010,Pipa Hitter 12mm Calvo | One Hitter color rosa y negro Chile,Pipas,CALVO,calvo,hitter,hitter,/productos/calvo/hitter,3,3,Astro Growshop | Fumetas | GrowBarato Chile,1000,1990,99,GrowBarato Chile,Fumetas,true,true,2026-06-08T22:34:08.011Z,Pipa Hitter 12mm Calvo | One Hitter color rosa y negro Chile | Calvo Pipa Hitter 12mm | Hitter Signature- Calvo Glass
40,10119,Banger Cuarzo Simple 90 Grados -Bonglab,Accesorios de extraccion,BONGLAB,bonglab,banger-simple-macho-90-14mm,banger-simple-macho-90-14mm,/productos/bonglab/banger-simple-macho-90-14mm,4,3,Astro Growshop | Fumetas | Piranha,6990,8990,29,Astro Growshop,Piranha,true,true,2026-05-18T06:49:25.461Z,Banger Cuarzo Simple 90 Grados -Bonglab | BongLab Banger Cuarzo 90° - Macho 14mm | BongLab Banger Cuarzo Macho 14mm | Banger Cuarzo Bonglab Simple 90° (14mm/10mm) | PIRANHA
41,10096,Moledor Plástico Bulldog 3 Partes 60mm | Grinder The Bulldog,Moledores,BULLDOG,the-bulldog,plastic-3-partes-63mm,plastic-3-partes-63mm,/productos/the-bulldog/plastic-3-partes-63mm,3,3,Astro Growshop | Fumetas | GrowBarato Chile,2200,2490,13,GrowBarato Chile,Astro Growshop,true,true,2026-06-08T22:42:05.741Z,Moledor Plástico Bulldog 3 Partes 60mm | Grinder The Bulldog | Moledor plástico Bulldog 3 partes 60mm | Moledor Plastico 3 Partes - Bulldog
42,5532,Tiny Bell Extended -Bonglab,Bongs,BONGLAB,bonglab,tiny-bell-extended,tiny-bell-extended,/productos/bonglab/tiny-bell-extended,3,3,Astro Growshop | Fumetas | Piranha,14990,17990,20,Astro Growshop,Fumetas,true,true,2026-05-14T13:46:39.673Z,Tiny Bell Extended -Bonglab | Bong Tiny Bell | BongLab Bong KM2 Tiny Bell Xtended 8 cm
43,9244,Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey),Vaporizadores herbales,DA VINCI,davinci,iq3,iq3,/productos/davinci/iq3,3,3,Astro Growshop | Fumetas | Piranha,219990,299990,36,Astro Growshop,Fumetas,true,true,2026-06-08T18:08:18.123Z,Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey) | Vaporizador DaVinci IQ3 | PIRANHA | Vaporizador DaVinci IQ3
44,5717,Tips Perforated Wide-Raw,Filtros y boquillas,RAW,raw,paper-tip-wide-wide,paper-tip-wide-wide,/productos/raw/paper-tip-wide-wide,3,3,Astro Growshop | Fumetas | GrowBarato Chile,390,590,51,Astro Growshop,Fumetas,true,true,2026-05-09T06:59:35.715Z,Tips Perforated Wide-Raw | RAW Perforated Wide Tips de origen orgánico | Boquillas RAW Wide Pre-picadas
45,10068,Papelillo Pink King Size Slim- Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,king-size-slim,pink-king-size-slim,/productos/blazy-susan/pink-king-size-slim,3,3,Astro Growshop | Fumetas | Piranha,490,990,102,Astro Growshop,Piranha,true,true,2026-05-18T06:45:49.950Z,Papelillo Pink King Size Slim- Blazy Susan | Blazy Susan Papelillos King Size Pink | Papelillo King Size Slim Blazy Susan Pink | PIRANHA
46,5765,Estuche Anti Olor OZeta Pequeño (Color a elección),Contenedores y estuches,OZETA,ozeta,case-antiolor-small,case-antiolor-small,/productos/ozeta/case-antiolor-small,3,3,Fumetas | GrowBarato Chile | Piranha,21600,23990,11,GrowBarato Chile,Fumetas,true,true,2026-05-09T06:51:51.532Z,Estuche Anti-Olor perfecto para el día a día | Estuche Anti Olor OZeta Pequeño (Color a elección) | Ozeta Estuche pequeño 2022 - Anti-olor
